plotID,mass
2017-Spr-HF-P-1,0.8
2017-Spr-HF-P-2,2.05
2017-Spr-HF-P-3,4.34
2017-Spr-HF-I-1,3.01
2017-Spr-HF-I-2,3.78
2017-Spr-HF-I-3,6.14
2017-Spr-HF-U-1,3
2017-Spr-HF-U-2,5.44
2017-Spr-HF-U-3,1.56
2017-Spr-MC-P-1,4.02
2017-Spr-MC-P-2,3.4
2017-Spr-MC-P-3,2.74
2017-Spr-MC-I-1,6.37
2017-Spr-MC-I-2,5.29
2017-Spr-MC-I-3,9.53
2017-Spr-MC-U-1,0.43
2017-Spr-MC-U-2,1.59
2017-Spr-MC-U-3,1.11
